User_ID,Timestamp,Alpha_Waves,Beta_Waves,Gamma_Waves,Delta_Waves,Theta_Waves
c763a829,2025-03-24 18:52:19,50.75,42.76,43.89,37.46,27.94
430376af,2025-03-24 19:15:43,76.96,65.58,30.68,8.09,39.28
c763a829,2025-03-24 19:23:27,41.31,47.48,31.39,46.93,34.38
c763a829,2025-03-24 18:58:35,51.42,23.01,23.22,11.6,20.33
4c1646fc,2025-03-24 19:32:58,33.94,20.08,35.23,26.87,15.46
01ea7dd5,2025-03-24 18:45:50,48.69,41.39,18.55,34.24,21.5
01ea7dd5,2025-03-24 19:21:32,62.57,43.79,53.78,25.8,45.26
777c05cb,2025-03-24 18:47:51,38.63,27.69,39.47,27.09,46.23
ec8c1b9f,2025-03-24 18:51:56,78.97,20.5,51.43,22.86,52.91
866b55d3,2025-03-24 19:22:07,49.88,45.47,31.96,45.5,30.4
114ee19f,2025-03-24 19:10:08,52.79,24.22,22.6,25.76,15.38
430376af,2025-03-24 18:51:34,47.73,20.91,40.35,47.55,48.73
475b382e,2025-03-24 19:22:20,35.92,43.8,20.17,12.56,18.72
f9f37797,2025-03-24 19:27:43,31.05,40.23,53.06,25.03,15.97
b8e82167,2025-03-24 19:20:55,47.26,29.94,38.91,11.27,50.57
b8e82167,2025-03-24 19:18:24,64.09,56.91,28.87,17.1,50.87
78ea41ca,2025-03-24 19:22:23,64.05,42.0,17.05,5.6,36.58
548859c2,2025-03-24 19:06:52,64.53,54.56,20.03,18.59,23.5
b6edafc5,2025-03-24 18:52:13,31.34,40.93,19.37,33.99,20.14
3d13faa9,2025-03-24 18:55:01,65.37,52.13,56.94,39.01,34.04
5c7cba20,2025-03-24 19:09:54,35.74,36.43,13.84,12.32,48.78
a9f8d8c9,2025-03-24 18:53:30,72.24,37.88,29.97,34.65,25.78
430376af,2025-03-24 19:16:38,46.76,20.89,10.15,12.25,21.18
ec8c1b9f,2025-03-24 19:01:58,47.83,62.43,32.18,10.47,45.24
5ccb9454,2025-03-24 19:18:04,76.65,60.06,15.21,32.43,40.05
9500e92b,2025-03-24 19:09:26,33.63,48.28,39.29,15.8,45.18
7363f94b,2025-03-24 19:13:04,70.2,48.63,37.68,43.37,24.49
58265ae3,2025-03-24 19:09:10,79.41,57.23,13.48,17.31,29.62
9500e92b,2025-03-24 19:10:35,46.37,30.97,11.51,6.79,27.23
812ad33f,2025-03-24 18:53:00,56.56,38.65,16.29,29.39,54.76
9fb4d034,2025-03-24 18:58:06,49.46,42.57,49.72,18.98,35.88
f9f37797,2025-03-24 19:07:57,30.46,34.45,46.8,38.39,54.8
461dbbc4,2025-03-24 19:28:40,78.03,34.86,21.07,33.35,33.68
b8e82167,2025-03-24 19:07:01,33.85,68.53,57.71,17.54,22.89
5ccb9454,2025-03-24 18:53:35,36.02,48.51,11.37,41.34,45.3
96ddd082,2025-03-24 19:26:54,51.26,34.97,40.88,27.93,36.28
812ad33f,2025-03-24 18:52:31,42.31,41.01,29.94,26.43,33.09
9500e92b,2025-03-24 18:51:37,59.51,44.59,48.58,11.24,46.3
3d13faa9,2025-03-24 19:25:58,73.08,43.93,51.6,19.73,38.57
9a5e7a25,2025-03-24 19:26:37,65.18,63.5,55.67,32.85,50.29
bb27d3f9,2025-03-24 19:04:22,33.61,35.66,53.3,23.63,31.66
c763a829,2025-03-24 18:52:13,50.88,40.47,26.2,11.49,37.26
430376af,2025-03-24 18:47:34,79.46,48.53,49.46,49.0,51.78
f32ab4df,2025-03-24 19:14:44,67.16,46.48,11.67,26.29,16.1
5ccb9454,2025-03-24 18:45:53,63.38,36.98,42.83,43.14,34.2
b6edafc5,2025-03-24 19:06:43,52.93,66.63,46.25,6.22,18.08
866b55d3,2025-03-24 19:11:22,75.81,24.09,16.71,16.09,46.53
7363f94b,2025-03-24 19:16:59,70.27,32.17,19.62,28.16,39.52
9500e92b,2025-03-24 19:23:08,56.68,60.75,44.87,11.36,21.72
78ea41ca,2025-03-24 19:16:11,58.6,30.58,34.18,46.92,15.95
475b382e,2025-03-24 19:19:18,77.72,28.38,17.89,47.65,18.79
4bc62d73,2025-03-24 19:22:39,62.78,36.1,22.85,8.28,45.24
c763a829,2025-03-24 18:53:09,34.33,28.66,24.91,25.83,16.07
b6edafc5,2025-03-24 19:14:36,73.9,32.98,50.88,45.57,27.41
a9cf3871,2025-03-24 18:52:43,40.69,26.94,48.55,41.81,50.62
9a5e7a25,2025-03-24 19:17:17,35.63,69.38,49.95,6.5,36.19
9a5e7a25,2025-03-24 18:51:42,35.56,47.86,52.46,25.87,37.46
ced61a54,2025-03-24 19:33:34,67.28,50.71,36.54,33.95,32.9
c5e7ceaa,2025-03-24 19:34:11,37.07,56.97,58.16,29.83,41.09
96ddd082,2025-03-24 19:24:00,47.58,45.55,15.54,41.09,28.74
866b55d3,2025-03-24 19:06:34,32.3,49.99,44.7,10.26,34.69
c763a829,2025-03-24 19:09:17,50.31,45.63,38.07,18.63,37.31
4a1dc918,2025-03-24 18:59:58,77.74,59.14,37.53,28.28,33.24
ced61a54,2025-03-24 18:54:45,48.54,26.33,11.78,33.56,54.09
430376af,2025-03-24 19:35:43,51.99,55.47,22.65,13.25,35.39
d4d69118,2025-03-24 19:16:13,76.5,35.41,23.6,29.97,22.48
f9f37797,2025-03-24 19:03:50,63.47,23.97,46.62,28.85,26.11
5c7cba20,2025-03-24 19:30:58,38.4,29.2,26.37,32.26,38.29
78ea41ca,2025-03-24 19:01:48,56.58,57.34,50.85,48.11,40.88
50b896fd,2025-03-24 19:15:41,54.09,51.02,40.69,34.99,53.17
4c1646fc,2025-03-24 19:07:24,36.87,34.11,37.03,36.9,28.93
78ea41ca,2025-03-24 18:50:36,72.34,46.5,47.55,35.16,49.57
777c05cb,2025-03-24 18:48:16,76.55,40.99,41.96,16.95,44.07
c68eac0d,2025-03-24 19:06:38,74.4,41.9,34.81,14.17,30.35
d4d69118,2025-03-24 18:50:06,58.79,43.32,18.37,32.39,30.94
d4d69118,2025-03-24 19:04:31,57.55,33.27,59.83,32.96,53.87
9fb4d034,2025-03-24 18:50:58,48.72,38.55,30.36,31.37,54.5
548859c2,2025-03-24 19:32:54,37.69,67.69,44.93,28.39,22.29
812ad33f,2025-03-24 18:52:00,64.58,45.22,25.74,30.12,46.41
936534c7,2025-03-24 19:10:59,65.61,64.64,26.05,19.0,16.91
97164053,2025-03-24 18:49:37,66.38,66.58,39.16,37.53,52.6
4bc62d73,2025-03-24 18:58:07,30.99,49.5,23.01,25.77,28.12
f9f37797,2025-03-24 19:00:22,70.74,46.05,48.46,15.54,51.18
114ee19f,2025-03-24 19:05:00,39.44,67.52,51.87,26.62,19.16
ced61a54,2025-03-24 18:52:56,47.45,47.91,29.85,18.19,48.67
777c05cb,2025-03-24 18:58:28,72.54,52.27,30.25,9.12,41.92
4a1dc918,2025-03-24 19:12:54,40.47,29.94,28.66,11.14,27.65
3d13faa9,2025-03-24 19:02:14,75.51,52.84,43.91,21.31,46.49
58265ae3,2025-03-24 19:11:38,48.96,49.52,39.18,18.81,36.98
114ee19f,2025-03-24 18:54:54,44.96,44.85,40.61,42.03,44.39
58265ae3,2025-03-24 18:51:10,42.76,42.05,30.29,47.27,26.96
b6edafc5,2025-03-24 19:23:36,43.09,23.33,39.75,42.38,54.59
9500e92b,2025-03-24 19:22:43,68.22,55.91,26.09,36.66,44.32
777c05cb,2025-03-24 18:51:21,54.33,42.71,23.98,40.04,49.05
97164053,2025-03-24 19:12:58,41.98,30.7,22.24,20.51,15.77
96ddd082,2025-03-24 18:49:11,33.42,35.34,18.87,41.06,33.81
4c1646fc,2025-03-24 19:26:19,58.61,29.55,25.1,41.97,31.79
a4f37be9,2025-03-24 18:53:40,73.77,22.52,34.91,14.49,39.15
812ad33f,2025-03-24 19:20:28,54.59,41.2,31.69,7.85,32.55
d4b4ed07,2025-03-24 18:58:58,54.04,64.23,11.43,8.23,22.25
96ddd082,2025-03-24 19:06:13,31.24,36.45,18.22,44.46,45.41
f12ce47f,2025-03-24 19:21:31,46.91,39.01,20.49,13.23,23.78
58265ae3,2025-03-24 19:26:09,71.0,35.81,20.16,46.31,52.3
7b1fd6a4,2025-03-24 19:13:56,56.27,31.67,52.14,8.77,25.79
58265ae3,2025-03-24 18:49:29,79.25,67.1,23.82,7.29,45.76
a4f37be9,2025-03-24 19:19:49,72.01,52.57,44.46,10.53,21.64
01ea7dd5,2025-03-24 19:26:34,37.88,45.9,22.11,20.75,50.46
d776f047,2025-03-24 19:15:56,75.68,68.85,56.27,15.81,51.57
5c7cba20,2025-03-24 19:32:19,57.35,25.46,41.18,8.47,40.76
88559e67,2025-03-24 19:27:18,60.07,42.98,48.81,14.92,35.56
461dbbc4,2025-03-24 19:26:38,53.26,22.25,37.38,13.02,39.39
dd03f568,2025-03-24 19:01:23,46.82,38.42,57.9,10.87,35.74
5ccb9454,2025-03-24 19:04:23,41.2,43.97,24.44,19.37,30.87
97164053,2025-03-24 19:33:25,55.62,54.26,19.88,18.34,33.99
bb27d3f9,2025-03-24 19:32:15,57.8,44.96,53.07,6.9,45.86
b8e82167,2025-03-24 19:12:33,71.72,46.75,56.15,16.31,44.71
88559e67,2025-03-24 19:24:07,73.09,35.05,28.88,36.67,17.11
bb27d3f9,2025-03-24 18:51:51,66.54,26.25,52.67,47.96,44.67
c5e7ceaa,2025-03-24 18:57:41,30.42,20.73,56.17,7.27,24.43
430376af,2025-03-24 19:28:12,78.42,51.8,52.39,47.08,25.51
88559e67,2025-03-24 19:11:19,35.88,52.24,38.35,42.55,31.66
6a2c7a71,2025-03-24 19:07:07,61.42,30.13,39.13,37.3,34.21
78ea41ca,2025-03-24 19:15:38,42.57,34.51,27.35,18.12,32.17
dd03f568,2025-03-24 19:17:16,55.39,25.15,23.76,10.24,48.93
4c1646fc,2025-03-24 19:27:43,79.56,51.82,29.17,27.55,41.32
7b1fd6a4,2025-03-24 19:05:01,56.13,62.85,12.98,43.27,16.76
4c1646fc,2025-03-24 19:31:06,32.57,68.23,36.54,41.05,48.44
7b1fd6a4,2025-03-24 19:25:05,45.68,62.47,34.54,17.4,27.09
5c7cba20,2025-03-24 19:12:05,43.37,66.37,17.13,34.35,54.36
866b55d3,2025-03-24 18:54:34,52.7,43.6,44.65,41.8,21.18
b8e82167,2025-03-24 18:51:29,44.02,69.32,34.06,13.87,45.29
114ee19f,2025-03-24 19:02:45,58.08,69.7,25.29,36.75,46.48
97164053,2025-03-24 19:08:26,39.89,35.5,49.94,24.38,35.95
866b55d3,2025-03-24 19:23:59,32.67,49.81,43.62,47.25,33.75
6bf3f07f,2025-03-24 18:57:19,56.23,51.58,44.38,41.31,54.04
461dbbc4,2025-03-24 18:49:28,43.34,24.94,34.09,25.26,23.75
866b55d3,2025-03-24 18:56:27,60.33,32.28,10.25,10.48,23.22
b6edafc5,2025-03-24 19:11:50,79.81,52.34,43.26,18.11,46.7
9a5e7a25,2025-03-24 19:21:34,32.92,35.97,17.15,46.69,42.92
c68eac0d,2025-03-24 19:19:51,59.39,51.01,27.41,18.85,17.67
ece85c9e,2025-03-24 19:12:58,46.21,31.7,14.38,9.44,29.77
f12ce47f,2025-03-24 19:20:47,61.45,46.67,12.63,15.1,15.88
b8e82167,2025-03-24 18:53:15,58.39,46.87,27.32,15.16,30.85
4a1dc918,2025-03-24 19:27:00,55.11,43.54,34.7,29.99,32.92
548859c2,2025-03-24 19:07:25,30.43,69.96,26.7,35.42,46.76
7363f94b,2025-03-24 19:14:37,64.58,63.99,10.05,18.17,25.22
dd03f568,2025-03-24 19:03:08,77.59,63.09,28.71,34.57,49.88
ece85c9e,2025-03-24 18:53:52,38.53,24.2,59.38,10.43,27.44
b8e82167,2025-03-24 19:16:15,40.41,42.92,51.27,49.96,27.13
114ee19f,2025-03-24 19:34:41,49.07,39.61,12.36,31.59,49.55
a9cf3871,2025-03-24 19:23:57,73.66,25.3,25.52,16.98,40.23
f32ab4df,2025-03-24 19:19:14,60.04,63.8,12.08,8.79,52.78
bb27d3f9,2025-03-24 19:03:11,65.72,37.79,41.94,24.51,16.31
f32ab4df,2025-03-24 18:59:56,70.22,36.06,41.11,48.52,52.31
812ad33f,2025-03-24 19:29:57,62.24,46.33,51.31,32.41,33.4
f12ce47f,2025-03-24 18:50:01,74.13,25.31,43.57,29.86,49.0
a4f37be9,2025-03-24 19:31:25,77.38,35.14,51.65,11.98,46.48
01ea7dd5,2025-03-24 18:57:45,35.33,23.83,38.84,49.02,54.88
777c05cb,2025-03-24 19:03:50,72.58,49.57,50.23,16.74,44.31
a4f37be9,2025-03-24 19:13:38,73.49,54.14,33.12,10.32,31.01
4a1dc918,2025-03-24 18:47:34,72.38,55.69,34.47,43.65,27.44
6bf3f07f,2025-03-24 19:23:33,40.11,26.17,33.79,49.6,52.73
cc07c778,2025-03-24 19:30:09,51.65,25.9,35.1,24.27,39.08
6bf3f07f,2025-03-24 19:10:06,40.34,37.41,26.08,30.51,16.5
bb27d3f9,2025-03-24 19:29:55,68.67,29.75,36.93,38.59,21.06
c5e7ceaa,2025-03-24 19:06:16,60.4,51.37,43.33,29.49,33.22
6a2c7a71,2025-03-24 18:52:18,67.57,62.39,31.83,39.53,28.23
f32ab4df,2025-03-24 19:27:48,72.97,56.55,24.62,37.29,29.52
dd03f568,2025-03-24 19:23:35,43.8,36.16,29.59,22.9,31.96
936534c7,2025-03-24 19:30:14,70.27,37.75,19.04,36.25,44.82
ece85c9e,2025-03-24 19:33:36,63.25,47.7,14.33,6.09,26.25
936534c7,2025-03-24 18:46:56,70.21,64.89,48.79,35.47,22.78
bb27d3f9,2025-03-24 19:00:23,74.91,44.74,10.46,9.19,25.58
4a1dc918,2025-03-24 19:31:22,65.35,52.76,19.45,7.6,29.79
88559e67,2025-03-24 18:53:54,38.45,58.7,54.59,29.16,26.89
78ea41ca,2025-03-24 19:17:19,68.4,47.8,23.1,27.71,46.9
5c7cba20,2025-03-24 18:52:12,54.32,32.09,51.95,43.27,41.49
475b382e,2025-03-24 19:11:23,69.34,64.85,56.02,34.51,17.85
78ea41ca,2025-03-24 19:13:06,63.39,69.16,37.09,31.15,35.56
475b382e,2025-03-24 18:52:09,50.86,63.95,20.05,23.1,41.16
ec8c1b9f,2025-03-24 19:09:14,40.34,35.59,35.99,22.75,16.05
b6edafc5,2025-03-24 19:05:57,41.22,24.71,51.84,17.94,21.73
4bc62d73,2025-03-24 19:15:42,77.17,41.26,55.06,18.9,43.65
ece85c9e,2025-03-24 19:22:00,56.9,50.03,36.22,6.69,20.55
f9f37797,2025-03-24 19:32:30,38.92,35.46,19.69,16.61,42.94
f9f37797,2025-03-24 19:02:56,45.45,45.78,33.52,20.36,21.31
ece85c9e,2025-03-24 19:12:50,58.85,45.52,21.55,11.02,46.91
50b896fd,2025-03-24 19:17:41,71.79,67.09,54.5,42.34,53.26
d4b4ed07,2025-03-24 19:31:16,65.67,27.88,21.13,9.62,47.79
ece85c9e,2025-03-24 19:03:08,64.03,37.25,25.54,16.64,36.7
78ea41ca,2025-03-24 19:21:12,32.06,57.75,25.92,35.88,49.05
f9f37797,2025-03-24 18:55:34,60.22,58.08,16.92,17.03,43.93
c763a829,2025-03-24 19:06:00,71.31,57.43,42.01,29.09,18.92
bb27d3f9,2025-03-24 19:13:07,50.81,38.78,12.34,45.75,53.16
88559e67,2025-03-24 19:27:55,56.21,37.62,18.41,20.29,54.92
9500e92b,2025-03-24 19:05:03,59.08,55.45,31.69,18.39,45.72
c68eac0d,2025-03-24 18:53:42,45.2,50.04,16.7,32.49,47.51
6bf3f07f,2025-03-24 19:22:48,63.39,32.26,49.04,40.08,38.6
9500e92b,2025-03-24 19:33:04,47.15,63.18,26.03,35.4,46.29
c763a829,2025-03-24 19:17:33,41.88,69.66,21.7,19.22,49.05
dd03f568,2025-03-24 19:02:24,46.31,68.55,15.09,29.04,27.76
430376af,2025-03-24 18:55:23,60.67,45.77,17.33,8.02,27.21
3d13faa9,2025-03-24 18:47:51,65.97,29.34,14.08,13.74,21.79
114ee19f,2025-03-24 18:49:26,60.13,52.38,42.75,13.34,44.6
7363f94b,2025-03-24 19:32:25,55.94,48.11,30.75,25.24,40.41
9fb4d034,2025-03-24 19:09:13,72.5,60.61,53.9,30.34,27.66
f32ab4df,2025-03-24 18:53:32,57.97,34.02,44.67,10.09,36.76
78ea41ca,2025-03-24 19:19:17,73.06,61.48,32.75,24.31,40.22
c763a829,2025-03-24 18:59:33,38.14,57.04,53.93,28.2,23.63
97164053,2025-03-24 18:48:00,67.26,42.49,53.44,38.15,42.52
d776f047,2025-03-24 18:50:23,40.4,23.34,41.11,11.47,43.12
461dbbc4,2025-03-24 19:20:56,76.4,34.49,11.55,5.84,18.83
01ea7dd5,2025-03-24 18:56:12,73.42,55.97,30.33,29.97,26.82
430376af,2025-03-24 18:53:30,71.31,28.14,51.58,30.6,20.0
c763a829,2025-03-24 18:47:53,60.36,59.73,58.79,24.5,17.09
777c05cb,2025-03-24 19:06:38,38.32,31.59,40.87,37.1,20.25
f32ab4df,2025-03-24 18:51:13,35.6,33.04,26.34,27.2,50.56
114ee19f,2025-03-24 19:01:57,53.55,54.02,58.43,19.33,47.6
866b55d3,2025-03-24 18:58:50,33.04,33.11,12.1,46.21,23.19
4c1646fc,2025-03-24 18:53:19,69.58,31.79,26.96,41.99,47.63
7363f94b,2025-03-24 19:19:17,35.3,23.85,54.28,23.78,20.69
866b55d3,2025-03-24 19:34:37,67.54,54.63,45.12,39.26,34.52
866b55d3,2025-03-24 18:51:40,74.25,68.75,27.48,40.53,52.98
4a1dc918,2025-03-24 18:55:58,53.04,67.98,11.7,45.75,22.2
ece85c9e,2025-03-24 19:06:04,50.04,38.24,53.46,41.74,27.12
9fb4d034,2025-03-24 19:24:36,68.1,24.3,30.06,20.49,17.84
7363f94b,2025-03-24 18:47:38,71.42,31.03,22.28,5.19,42.91
4c1646fc,2025-03-24 19:22:55,31.48,37.38,30.24,13.78,38.79
866b55d3,2025-03-24 19:03:46,46.41,21.78,34.25,26.73,32.21
5c7cba20,2025-03-24 19:32:53,62.14,36.9,22.11,18.44,26.06
4bc62d73,2025-03-24 19:22:05,76.25,58.15,14.55,42.17,27.78
78ea41ca,2025-03-24 18:50:17,70.98,63.85,59.61,46.09,34.04
114ee19f,2025-03-24 18:54:30,48.0,31.21,35.56,40.17,18.4
d4b4ed07,2025-03-24 19:16:01,32.82,26.09,59.82,42.9,44.1
96ddd082,2025-03-24 18:47:48,40.65,45.77,16.24,31.58,31.63
114ee19f,2025-03-24 19:29:57,50.75,55.79,38.76,7.63,19.18
a4f37be9,2025-03-24 18:54:50,48.0,34.62,33.45,46.68,52.12
4c1646fc,2025-03-24 19:04:22,59.03,38.97,41.32,37.69,30.5
01ea7dd5,2025-03-24 19:35:06,50.71,40.63,53.77,41.41,48.16
475b382e,2025-03-24 19:18:03,67.9,20.38,17.46,28.27,24.79
9a5e7a25,2025-03-24 18:56:58,45.55,39.9,51.94,21.77,15.86
a9f8d8c9,2025-03-24 18:54:49,77.34,51.26,22.85,46.75,15.93
461dbbc4,2025-03-24 19:14:51,52.12,47.01,58.28,31.27,29.28
50b896fd,2025-03-24 18:50:16,65.94,50.3,24.57,42.15,39.93
f32ab4df,2025-03-24 19:08:00,74.13,51.54,55.2,40.54,35.88
ece85c9e,2025-03-24 19:06:50,71.77,42.51,28.06,38.14,23.99
b8e82167,2025-03-24 19:30:25,63.62,48.41,27.45,33.68,37.12
9a5e7a25,2025-03-24 18:56:40,42.15,41.6,26.84,41.76,46.51
9a5e7a25,2025-03-24 18:56:08,63.0,35.67,41.46,23.69,23.58
4bc62d73,2025-03-24 19:00:58,66.91,25.67,33.05,40.41,54.74
114ee19f,2025-03-24 19:16:29,58.54,50.11,44.38,18.67,28.71
777c05cb,2025-03-24 18:57:37,64.99,51.77,46.34,22.81,19.51
548859c2,2025-03-24 18:46:49,38.84,34.13,10.35,12.8,27.35
114ee19f,2025-03-24 19:14:33,37.8,63.02,24.99,41.6,51.72
777c05cb,2025-03-24 19:11:44,66.62,69.65,57.96,9.95,54.25
866b55d3,2025-03-24 19:14:32,62.89,33.96,57.68,48.05,32.75
936534c7,2025-03-24 18:54:30,57.33,38.24,41.92,48.53,50.65
58265ae3,2025-03-24 19:06:27,39.9,41.09,59.81,34.75,27.13
548859c2,2025-03-24 19:19:00,62.64,48.79,51.12,46.17,20.64
9a5e7a25,2025-03-24 19:09:33,43.18,47.21,13.98,27.99,24.94
9500e92b,2025-03-24 18:59:19,70.31,42.17,55.29,37.3,51.85
430376af,2025-03-24 19:04:57,61.05,49.43,21.75,14.58,17.7
50b896fd,2025-03-24 18:58:46,58.55,23.1,52.34,36.72,41.73
a9f8d8c9,2025-03-24 18:52:16,57.22,41.19,13.99,39.51,20.1
f12ce47f,2025-03-24 19:23:51,44.6,43.33,27.7,8.69,52.69
58265ae3,2025-03-24 19:23:27,66.86,59.76,44.74,7.05,35.13
4bc62d73,2025-03-24 19:11:16,56.81,65.24,14.6,5.78,16.46
ec8c1b9f,2025-03-24 18:45:55,53.06,65.87,57.87,11.3,39.51
01ea7dd5,2025-03-24 18:54:30,34.24,24.67,58.72,20.51,45.3
d776f047,2025-03-24 19:12:50,53.35,36.85,32.44,49.98,43.1
d776f047,2025-03-24 19:08:44,59.59,65.08,39.38,5.75,42.59
a9f8d8c9,2025-03-24 19:33:23,74.74,39.71,38.03,10.17,15.72
96ddd082,2025-03-24 18:49:14,65.38,61.79,31.43,41.67,19.73
9500e92b,2025-03-24 18:57:56,52.8,45.71,57.37,46.88,33.78
a9cf3871,2025-03-24 18:58:21,31.89,60.71,57.49,41.2,36.72
812ad33f,2025-03-24 18:50:37,52.26,61.33,34.65,39.69,51.69
96ddd082,2025-03-24 19:23:08,68.89,40.49,18.01,30.75,19.45
936534c7,2025-03-24 19:12:28,56.68,31.26,50.51,36.63,28.33
dd03f568,2025-03-24 19:20:36,46.02,56.64,43.27,33.32,41.67
c68eac0d,2025-03-24 19:20:38,52.29,30.07,31.62,42.51,25.13
c68eac0d,2025-03-24 19:22:12,40.79,49.78,48.14,35.25,40.79
461dbbc4,2025-03-24 18:54:33,44.61,51.83,30.77,35.4,29.22
50b896fd,2025-03-24 18:45:59,36.79,47.23,15.69,31.81,31.24
d4b4ed07,2025-03-24 18:58:11,77.65,37.08,47.1,46.13,44.64
9500e92b,2025-03-24 19:20:26,76.24,57.16,52.95,33.51,37.99
dd03f568,2025-03-24 18:55:32,54.99,38.4,34.43,48.88,26.89
96ddd082,2025-03-24 19:12:43,41.7,39.55,10.39,29.35,41.01
6a2c7a71,2025-03-24 19:13:25,36.97,37.23,32.72,22.41,34.4
01ea7dd5,2025-03-24 19:19:03,68.55,44.56,12.07,5.79,23.31
9fb4d034,2025-03-24 18:52:28,49.26,30.37,20.04,8.44,23.46
936534c7,2025-03-24 18:49:19,69.04,27.51,34.28,38.7,26.79
d4d69118,2025-03-24 19:26:55,55.84,20.35,49.91,12.02,51.69
58265ae3,2025-03-24 19:16:51,37.79,41.49,46.18,17.1,22.01
4a1dc918,2025-03-24 19:27:24,78.22,49.8,42.93,49.79,25.91
936534c7,2025-03-24 19:15:14,69.86,67.26,29.23,26.19,37.68
50b896fd,2025-03-24 18:59:18,49.87,59.62,22.17,26.96,29.71
c763a829,2025-03-24 19:18:29,46.04,42.62,36.69,18.26,30.13
475b382e,2025-03-24 19:13:19,33.85,66.21,40.63,30.27,36.48
475b382e,2025-03-24 19:28:37,72.66,43.59,27.71,44.23,53.16
4a1dc918,2025-03-24 19:10:28,73.84,30.61,35.11,44.27,22.11
7363f94b,2025-03-24 19:00:35,57.31,67.5,46.45,23.58,42.65
ec8c1b9f,2025-03-24 19:17:09,59.21,57.85,19.42,18.11,40.78
6bf3f07f,2025-03-24 18:46:57,48.45,59.83,24.43,46.64,20.99
d4d69118,2025-03-24 19:08:31,56.87,44.86,27.74,5.62,26.24
bb27d3f9,2025-03-24 18:50:56,41.74,34.53,22.79,46.25,24.95
d4b4ed07,2025-03-24 18:50:53,49.18,27.29,45.76,42.69,16.79
777c05cb,2025-03-24 19:29:57,74.78,27.89,50.33,29.41,48.84
9a5e7a25,2025-03-24 19:01:48,71.55,66.98,59.62,41.22,26.31
430376af,2025-03-24 19:18:25,32.34,38.11,28.83,24.82,20.03
d776f047,2025-03-24 19:26:07,53.62,36.4,46.52,6.37,41.46
9500e92b,2025-03-24 19:23:55,53.37,43.78,55.63,40.51,43.48
ec8c1b9f,2025-03-24 18:51:29,51.16,68.65,23.42,22.24,23.31
d4d69118,2025-03-24 18:47:54,77.41,61.89,51.37,5.4,15.92
5c7cba20,2025-03-24 18:50:44,61.8,27.9,57.09,22.34,32.46
78ea41ca,2025-03-24 18:49:41,63.28,25.91,36.59,14.64,36.18
d776f047,2025-03-24 18:49:41,62.89,61.67,17.26,33.63,35.02
